PARENT_MOLREGNO	CHEMBL_ID	SYNONYMS	DEVELOPMENT_PHASE	RESEARCH_CODES	APPLICANTS	USAN_STEM	USAN_STEM_DEFINITION	USAN_STEM_SUBSTEM	USAN_YEAR	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	INDICATION_CLASS	DRUG_TYPE	RULE_OF_FIVE	FIRST_IN_CLASS	CHIRALITY	PRODRUG	ORAL	PARENTERAL	TOPICAL	BLACK_BOX	AVAILABILITY_TYPE	CANONICAL_SMILES
397524	CHEMBL231779	Apixaban (FDA, INN, USAN)	4	BMS-562247; BMS-562247-01	Bristol Myers Squibb Co Pharmaceutical Research Institute	-xaban	antithrombotic: blood coagulation factor XA inhibitors	-xaban	2005	2012	B01AF02	B01AF02 [Blood And Blood Forming Organs:Antithrombotic Agents:Antithrombotic Agents:Direct factor Xa inhibitors]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	Y	Prescription-only	COc1ccc(cc1)n2nc(C(=O)N)c3CCN(C(=O)c23)c4ccc(cc4)N5CCCCC5=O
1795	CHEMBL33	Levofloxacin (BAN, FDA, INN, JAN, USAN)	4	DR-3355; RWJ-25213	Santen Inc; Janssen Pharmaceuticals Inc	-oxacin	antibacterials (quinolone derivatives)	-oxacin	1996	1996	S01AE05; J01MA12	S01AE05 [Sensory Organs:Ophthalmologicals:Antiinfectives:Fluoroquinolones]; J01MA12 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Quinolone Antibacterials:Fluoroquinolones]	Antibacterial	Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	Y	Y	Y	Prescription-only	C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O
13048	CHEMBL535	Sunitinib (INN); Sunitinib Malate (FDA)	4	SU-11248	Cp Pharmaceuticals International Cv	-tinib	tyrosine kinase inhibitors	-tinib		2006	L01XE04	L01XE04 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	Y	Prescription-only	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C
60401	CHEMBL834	Pamidronic Acid (MI, BAN, INN); Pamidronate Disodium (JAN, USAN, FDA)	4	CGP-23339AE	Novartis Pharmaceuticals Corp; Bedford Laboratories Div Ben Venue Laboratories Inc				1990	1991	M05BA03	M05BA03 [Musculo-Skeletal System:Drugs For Treatment Of Bone Diseases:Drugs Affecting Bone Structure And Mineralization:Bisphosphonates]	Bone Resorption Inhibitor	Synthetic Small Molecule	N	N	Achiral Molecule	N	N	Y	N	N	Prescription-only	NCCC(O)(P(=O)(O)O)P(=O)(O)O
2080	CHEMBL36	Pyrimethamine (BAN, FDA, INN, JAN, USP)	4	GNF-Pf-5586; TCMDC-123831; TCMDC-125860	Hoffmann La Roche Inc; Corepharma Llc					1953	P01BD01; P01BD51	P01BD01 [Antiparasitic Products, Insecticides And Repellents:Antiprotozoals:Antimalarials:Diaminopyrimidines]; P01BD51 [Antiparasitic Products, Insecticides And Repellents:Antiprotozoals:Antimalarials:Diaminopyrimidines]	Antimalarial	Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	CCc1nc(N)nc(N)c1c2ccc(Cl)cc2
44920	CHEMBL779	Tadalafil (BAN, FDA, INN, USAN)	4	IC-351; IC351	Eli Lilly Co; Eli Lilly And Co	-afil	PDE5 inhibitors	-afil	2001	2003	G04BE08	G04BE08 [Genito Urinary System And Sex Hormones:Urologicals:Urologicals:Drugs used in erectile dysfunction]		Synthetic Small Molecule	Y	N	Single Stereoisomer	N	Y	N	N	N	Prescription-only	CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c5ccc6OCOc6c5)C1=O
83772	CHEMBL923	Risedronic Acid (BAN, INN); Risedronate Sodium (USAN, FDA)	4	NE-58095	Warner Chilcott Co Llc				1990	1998	M05BA07	M05BA07 [Musculo-Skeletal System:Drugs For Treatment Of Bone Diseases:Drugs Affecting Bone Structure And Mineralization:Bisphosphonates]	Regulator (calcium)	Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O
1085	CHEMBL17	Diclofenamide (DCF, BAN, INN, JAN); Dichlorphenamide (FDA, USP)	4		Taro Pharmaceuticals Usa Inc					1958	S01EC02	S01EC02 [Sensory Organs:Ophthalmologicals:Antiglaucoma Preparations And Miotics:Carbonic anhydrase inhibitors]	Carbonic Anhydrase Inhibitor	Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Discontinued	NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(=O)(=O)N
316787	CHEMBL1372	Glutathione disulfide (FDA); Oxiglutatione (FDA, INN)	4		Alcon Pharmaceuticals Ltd; Alcon Laboratories Inc; Akorn Inc					2008				Synthetic Small Molecule	N	N	Single Stereoisomer	Y	N	N	N	N	Prescription-only	N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
88797	CHEMBL941	Imatinib (BAN, INN); Imatinib mesylate (FDA)	4	STI-571	Novartis Pharmaceuticals Corp	-tinib	tyrosine kinase inhibitors	-tinib		2001	L01XE01	L01XE01 [Antineoplastic And Immunomodulating Agents:Antineoplastic Agents:Other Antineoplastic Agents:Protein kinase inhibitors]		Synthetic Small Molecule	Y	N	Achiral Molecule	N	Y	N	N	N	Prescription-only	CN1CCN(Cc2ccc(cc2)C(=O)Nc3ccc(C)c(Nc4nccc(n4)c5cccnc5)c3)CC1
