MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	USAN_STEM	MECHANISM_OF_ACTION	MECHANISM_COMMENT	SELECTIVITY_COMMENT	TARGET_CHEMBL_ID	TARGET_NAME	ACTION_TYPE	ORGANISM	TARGET_TYPE	SITE_NAME	BINDING_SITE_COMMENT	MECHANISM_REFS	CANONICAL_SMILES
CHEMBL108	Carbamazepine	Small molecule	1968	N03AF01	N03AF01 [Nervous System:Antiepileptics:Antiepileptics:Carboxamide derivatives]	-pin(e)	Sodium channel alpha subunit blocker			CHEMBL2331043	Sodium channel alpha subunit	BLOCKER	Homo sapiens	PROTEIN FAMILY			Name:PubMed, SrcID:15208697, URL:http://europepmc.org/abstract/MED/15208697|Name:PubMed, SrcID:23205958, URL:http://europepmc.org/abstract/MED/23205958	NC(=O)N1c2ccccc2C=Cc3ccccc13
CHEMBL562	Griseofulvin	Small molecule	1962	D01BA01; D01AA08	D01BA01 [Dermatologicals:Antifungals For Dermatological Use:Antifungals For Systemic Use:Antifungals for systemic use]; D01AA08 [Dermatologicals:Antifungals For Dermatological Use:Antifungals For Topical Use:Antibiotics]		Tubulin inhibitor			CHEMBL2364703	Tubulin	INHIBITOR	Trichophyton	PROTEIN COMPLEX GROUP	Beta tubulin	Binds to beta tubulin	Name:ISBN, SrcID:9780702034718 PP. 651, URL:http://www.isbnsearch.org/isbn/9780702034718|Name:PubMed, SrcID:18095085, URL:http://europepmc.org/abstract/MED/18095085|Name:PubMed, SrcID:2878792, URL:http://europepmc.org/abstract/MED/2878792|Name:PubMed, SrcID:8651940, URL:http://europepmc.org/abstract/MED/8651940	COC1=CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O
CHEMBL15770	Sulindac	Small molecule	1978	M01AB02	M01AB02 [Musculo-Skeletal System:Antiinflammatory And Antirheumatic Products:Antiinflammatory And Antirheumatic Products, Non-Steroids:Acetic acid derivatives and related substances]	-ac	Cyclooxygenase inhibitor			CHEMBL2094253	Cyclooxygenase	INHIBITOR	Homo sapiens	PROTEIN FAMILY			Name:PubMed, SrcID:10372826, URL:http://europepmc.org/abstract/MED/10372826	C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1
CHEMBL15891	Lindane	Small molecule	1974	P03AB02	P03AB02 [Antiparasitic Products, Insecticides And Repellents:Ectoparasiticides, Incl. Scabicides, Insecticides And Repellents:Ectoparasiticides, Incl. Scabicides:Chlorine containing products]		GABA-A receptor negative allosteric modulator	mode not clear, but seems negative and likely allosteric, binds at picrotoxin site?		CHEMBL2364024	GABA-A receptor	NEGATIVE ALLOSTERIC MODULATOR	Sarcoptes scabiei	PROTEIN COMPLEX GROUP			Name:PubMed, SrcID:14635176, URL:http://europepmc.org/abstract/MED/14635176	Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
CHEMBL114	Saquinavir	Small molecule	1995	J05AE01	J05AE01 [Antiinfectives For Systemic Use:Antivirals For Systemic Use:Direct Acting Antivirals:Protease inhibitors]	-vir	Human immunodeficiency virus type 1 protease inhibitor			CHEMBL243	Human immunodeficiency virus type 1 protease	INHIBITOR	Human immunodeficiency virus 1	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=c00d1607-ac36-457b-a34b-75ad74f9cf0a, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c00d1607-ac36-457b-a34b-75ad74f9cf0a	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4
CHEMBL599	Meloxicam	Small molecule	2000	M01AC56; M01AC06	M01AC56 [Musculo-Skeletal System:Antiinflammatory And Antirheumatic Products:Antiinflammatory And Antirheumatic Products, Non-Steroids:Oxicams]; M01AC06 [Musculo-Skeletal System:Antiinflammatory And Antirheumatic Products:Antiinflammatory And Antirheumatic Products, Non-Steroids:Oxicams]	-icam	Cyclooxygenase-2 inhibitor			CHEMBL230	Cyclooxygenase-2	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:8882380, URL:http://europepmc.org/abstract/MED/8882380	CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3
CHEMBL606	Misoprostol	Small molecule	1988	G02AD06; A02BB01	G02AD06 [Genito Urinary System And Sex Hormones:Other Gynecologicals:Uterotonics:Prostaglandins]; A02BB01 [Alimentary Tract And Metabolism:Drugs For Acid Related Disorders:Drugs For Peptic Ulcer And Gastro-Oesophageal Reflux Disease (Gord):Prostaglandins]	-prost-	Prostanoid EP3 receptor agonist			CHEMBL3710	Prostanoid EP3 receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=10644068-fa47-4e3b-9e93-f57ebac3dd17#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=10644068-fa47-4e3b-9e93-f57ebac3dd17#nlm34090-1|Name:ISBN, SrcID:0443-059748 PP. 376, URL:http://www.isbnsearch.org/isbn/0443059748	CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
CHEMBL611	Terazosin	Small molecule	1987	G04CA03	G04CA03 [Genito Urinary System And Sex Hormones:Urologicals:Drugs Used In Benign Prostatic Hypertrophy:Alpha-adrenoreceptor antagonists]	-azosin	Adrenergic receptor alpha-1 antagonist			CHEMBL2094251	Adrenergic receptor alpha-1	ANTAGONIST	Homo sapiens	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=2795c42c-8aad-41bd-f386-f075505d4e8b#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2795c42c-8aad-41bd-f386-f075505d4e8b#nlm34090-1	COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4CCCO4
CHEMBL126	Linezolid	Small molecule	2000	J01XX08	J01XX08 [Antiinfectives For Systemic Use:Antibacterials For Systemic Use:Other Antibacterials:Other antibacterials]	-zolid	70S ribosome inhibitor	Indicated for Staphylococcus aureus, Streptococcus pneumoniae, Streptococcus pyogenes, Streptococcus agalactiae, Enterococcus faecium		CHEMBL2363853	70S ribosome	INHIBITOR	Streptococcus pneumoniae	PROTEIN NUCLEIC-ACID COMPLEX	23S ribosomal RNA	23S RRNA	Name:DailyMed, SrcID:setid=6e70e63b-bfd5-478d-a8ee-8ba22c9efabd, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6e70e63b-bfd5-478d-a8ee-8ba22c9efabd	CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2
CHEMBL623	Nefazodone	Small molecule	1994	N06AX06	N06AX06 [Nervous System:Psychoanaleptics:Antidepressants:Other antidepressants]		Norepinephrine transporter inhibitor			CHEMBL222	Norepinephrine transporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=b1d149db-ad43-4f3f-aef1-fb0395ba4191#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b1d149db-ad43-4f3f-aef1-fb0395ba4191#nlm34090-1	CCC1=NN(CCCN2CCN(CC2)c3cccc(Cl)c3)C(=O)N1CCOc4ccccc4
CHEMBL625	Thiabendazole	Small molecule	1967	P02CA02; D01AC06	P02CA02 [Antiparasitic Products, Insecticides And Repellents:Anthelmintics:Antinematodal Agents:Benzimidazole derivatives]; D01AC06 [Dermatologicals:Antifungals For Dermatological Use:Antifungals For Topical Use:Imidazole and triazole derivatives]	-bendazole	Tubulin inhibitor			CHEMBL2364704	Tubulin	INHIBITOR	Taeniidae	PROTEIN COMPLEX GROUP	Beta tubulin	Binds to beta tubulin	Name:ISBN, SrcID:0443-059748 PP. 740, URL:http://www.isbnsearch.org/isbn/0443059748|Name:ISBN, SrcID:9780702034718 PP. 669, URL:http://www.isbnsearch.org/isbn/9780702034718|Name:PubMed, SrcID:22927795, URL:http://europepmc.org/abstract/MED/22927795	c1ccc2[nH]c(nc2c1)c3cscn3
CHEMBL629	Amitriptyline	Small molecule	1961	N06AA09	N06AA09 [Nervous System:Psychoanaleptics:Antidepressants:Non-selective monoamine reuptake inhibitors]	-triptyline	Norepinephrine transporter inhibitor			CHEMBL222	Norepinephrine transporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=acd53964-52dc-4534-b20f-14a7561b8a6c#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=acd53964-52dc-4534-b20f-14a7561b8a6c#nlm34090-1	CN(C)CCC=C1c2ccccc2CCc3ccccc13
CHEMBL631	Propafenone	Small molecule	1989	C01BC03	C01BC03 [Cardiovascular System:Cardiac Therapy:Antiarrhythmics, Class I And Iii:Antiarrhythmics, class Ic]	-afenone	Beta-1 adrenergic receptor antagonist			CHEMBL213	Beta-1 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=d4a552ce-f215-4ec7-b5dd-aee266ba9b08, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4a552ce-f215-4ec7-b5dd-aee266ba9b08	CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2
CHEMBL631	Propafenone	Small molecule	1989	C01BC03	C01BC03 [Cardiovascular System:Cardiac Therapy:Antiarrhythmics, Class I And Iii:Antiarrhythmics, class Ic]	-afenone	Beta-2 adrenergic receptor antagonist			CHEMBL210	Beta-2 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=d4a552ce-f215-4ec7-b5dd-aee266ba9b08, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d4a552ce-f215-4ec7-b5dd-aee266ba9b08	CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2
CHEMBL21578	Quinidine	Small molecule	1950	C01BA51; C01BA01; C01BA71	C01BA51 [Cardiovascular System:Cardiac Therapy:Antiarrhythmics, Class I And Iii:Antiarrhythmics, class Ia]; C01BA01 [Cardiovascular System:Cardiac Therapy:Antiarrhythmics, Class I And Iii:Antiarrhythmics, class Ia]; C01BA71 [Cardiovascular System:Cardiac Therapy:Antiarrhythmics, Class I And Iii:Antiarrhythmics, class Ia]		Sodium channel alpha subunit blocker			CHEMBL2331043	Sodium channel alpha subunit	BLOCKER	Homo sapiens	PROTEIN FAMILY			Name:DailyMed, SrcID:setid=a08a0f0b-6cf5-4fa4-a861-0b054d6fddfc, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a08a0f0b-6cf5-4fa4-a861-0b054d6fddfc|Name:DailyMed, SrcID:setid=a10b6ded-4fe0-4059-bd77-c45acc3c876d, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a10b6ded-4fe0-4059-bd77-c45acc3c876d	COc1ccc2nccc([C@H](O)[C@H]3CC4CCN3C[C@@H]4C=C)c2c1
CHEMBL646	Triazolam	Small molecule	1982	N05CD05	N05CD05 [Nervous System:Psycholeptics:Hypnotics And Sedatives:Benzodiazepine derivatives]		GABA-A receptor; anion channel positive allosteric modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP	Benzodiazepine binding site	Benzodiazepine site	Name:FDA, SrcID:label/2008/017892s038lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/017892s038lbl.pdf|Name:ISBN, SrcID:9780702034718 PP. 533, URL:http://www.isbnsearch.org/isbn/9780702034718	Cc1nnc2CN=C(c3ccccc3Cl)c4cc(Cl)ccc4n12
CHEMBL649	Nadolol	Small molecule	1979	C07AA12	C07AA12 [Cardiovascular System:Beta Blocking Agents:Beta Blocking Agents:Beta blocking agents, non-selective]	-olol	Beta-1 adrenergic receptor antagonist			CHEMBL213	Beta-1 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=c2e709d2-96a2-41ea-b5e9-9ce4ccb91f59, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c2e709d2-96a2-41ea-b5e9-9ce4ccb91f59	CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12
CHEMBL649	Nadolol	Small molecule	1979	C07AA12	C07AA12 [Cardiovascular System:Beta Blocking Agents:Beta Blocking Agents:Beta blocking agents, non-selective]	-olol	Beta-2 adrenergic receptor antagonist			CHEMBL210	Beta-2 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=c2e709d2-96a2-41ea-b5e9-9ce4ccb91f59, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c2e709d2-96a2-41ea-b5e9-9ce4ccb91f59	CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12
CHEMBL655	Midazolam	Small molecule	1985	N05CD08	N05CD08 [Nervous System:Psycholeptics:Hypnotics And Sedatives:Benzodiazepine derivatives]		GABA-A receptor; anion channel positive allosteric modulator			CHEMBL2093872	GABA-A receptor; anion channel	POSITIVE ALLOSTERIC MODULATOR	Homo sapiens	PROTEIN COMPLEX GROUP	Benzodiazepine binding site	Benzodiazepine site	Name:ISBN, SrcID:9780702034718 PP. 497, 533, URL:http://www.isbnsearch.org/isbn/9780702034718	Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12
CHEMBL660	Amantadine	Small molecule	1968	N04BB01	N04BB01 [Nervous System:Anti-Parkinson Drugs:Dopaminergic Agents:Adamantane derivatives]	-mantadine	Glutamate [NMDA] receptor antagonist	Indicated for Parkinson's disease		CHEMBL2094124	Glutamate [NMDA] receptor	ANTAGONIST	Homo sapiens	PROTEIN COMPLEX GROUP			Name:DailyMed, SrcID:setid=a2caed21-e9a3-228e-70a8-de30a1b368be, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a2caed21-e9a3-228e-70a8-de30a1b368be	NC12CC3CC(CC(C3)C1)C2
CHEMBL21731	Maprotiline	Small molecule	1980	N06AA21	N06AA21 [Nervous System:Psychoanaleptics:Antidepressants:Non-selective monoamine reuptake inhibitors]		Norepinephrine transporter inhibitor	reuptake inhibitor		CHEMBL222	Norepinephrine transporter	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=c3ca69e6-1ea0-4c2c-abcb-7264b2e79a87#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c3ca69e6-1ea0-4c2c-abcb-7264b2e79a87#nlm34090-1	CNCCCC12CCC(c3ccccc13)c4ccccc24
CHEMBL1324	Tolcapone	Small molecule	1998	N04BX01	N04BX01 [Nervous System:Anti-Parkinson Drugs:Dopaminergic Agents:Other dopaminergic agents]		Catechol O-methyltransferase inhibitor			CHEMBL2023	Catechol O-methyltransferase	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=a0e47a9d-78e7-4523-983a-aa259f221736#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a0e47a9d-78e7-4523-983a-aa259f221736#nlm34090-1	Cc1ccc(cc1)C(=O)c2cc(O)c(O)c(c2)[N+](=O)[O-]
