# 2014/04/28 - 13:26
SP_PRIMARY,PDB
A0A011,3vk5;3vka;3vkb;3vkc;3vkd
A0A2Y1,2jrd
A0A585,4mnq
A0A5B4,2ij0
A0A5B9,2bnq;2eyr;2eys;2eyt;3kxf;3o6f;3o8x;3o9w;3t0e;3ta3;3tvm
A0A5E3,1hq4;1ken;1ob1
A0AEF5,4iu2;4iu3
A0AEF6,4iu2;4iu3
A0AQQ7,2ib5
A0AQQ8,2ib6
A0AT29,2mal
A0AV96,2dis
A0AW19,3gdc
A0B5R2,3zid
A0EKU1,2oxt
A0EL75,4gnu
A0F6C5,2rkg
A0F7J4,2rkf
A0FGR8,2dmg;4npj;4npk
A0FKY4,2jms
A0JD37,1tvd
A0JLX4,4jgj
A0JP82,4hp1;4hp3
A0JR48,3bl4
A0JSJ2,3dtt
A0JVA7,2qck
A0JVT3,3kop
A0JWG4,2r1i
A0JYP2,3ez0
A0KEJ7,4dzg
A0KF03,3pss;3psz
A0KF84,2oof;2q09
A0KH11,4bhy
A0KHJ5,3od9
A0KKT0,2lgh
A0KLG5,4bf5
A0KPA6,3l6e
A0L5S6,3zjz;4f4l
A0L9W2,4jj0;4jj3
A0LSI1,4lgn
A0LU48,4b0r;4b0s
A0LWM4,3e11
A0MMD0,1qs7;1qtx
A0MTA1,2o3c
A0N262,3dus;3duu;3dv4;3dv6
A0N274,2gki
A0N6Y3,2ibz
A0N7J2,2ojz;2ok0;3vrl
A0NA69,1dvf
A0NIJ1,4fr2
A0NLY7,4j0n
A0NP48,3stp
A0NXQ8,4mgg
A0PKT3,3qhx;3qi6
A0PMN1,3tl3
A0PNS1,4i1y
A0PQS3,4ege
A0PRF8,2m4y
A0PUS8,3svt
A0PXY7,4l1n
A0PZS2,3g14
A0Q0N1,3gwp;3i16
A0Q2D8,3odp
A0Q436,2d1g
A0Q7H7,4ack;4acl
A0QAF4,3qlj
A0QAQ2,3qha
A0QB72,3uve
A0QBF2,3svk
A0QBG6,3oi9
A0QBQ2,3oc7
A0QC59,4lgv
A0QC84,3r9s
A0QCJ8,3t7c
A0QDP7,3ppi
A0QFP4,3rd7
A0QFV0,3r0o
A0QFV1,3pxx
A0QFV4,3p5m
A0QGY1,3uwr
A0QI26,3s82
A0QIL3,3q1t
A0QIX8,3p85
A0QJI1,3p96
A0QK82,2z6v
A0QKQ0,3r1j
A0QLL2,3ng3
A0QLU8,3p4i;4iz9
A0QNL1,4j94;4kb5;4kpg;4m1z
A0QNT0,3p2y
A0QP85,2xw7
A0QPE7,3u0b
A0QPL0,3mml
A0QPL1,3mml
A0QPL3,4mdy
A0QPR6,3kke
A0QQ04,3q8n
A0QQ43,3q4h
A0QQ44,3q4h
A0QQ47,4kg7
A0QQ72,3f8l;3f8m
A0QQG1,2we7;2we8
A0QQJ6,3pk0
A0QQK1,4ijn
A0QQY7,3ndo
A0QR29,1uun;2v9u
A0QR77,4dez
A0QRC1,2lky
A0QRC4,3ol3;3ol4
A0QRS5,2hw2
A0QS86,3njb;3njd
A0QST4,3myb
A0QT11,3mpz
A0QTN8,3dg3;3dg6;3dg7
A0QTQ6,2jfr;2jfs;2jft;2v06
A0QTW7,4iv6
A0QV09,2wzm;2wzt
A0QV68,3sf6
A0QVP0,3pe8
